lake,learner,k,calibrated_spearman,source_spearman,delta_spearman,calibrated_anomaly_r2_logspace,source_anomaly_r2_logspace,delta_anomaly_r2_logspace,delta_anomaly_r2_origspace
Lake Hume,PLSR,1,0.6685270339876893,0.6685270339876893,0.0,0.36353182454031274,0.36353182454031274,0.0,-0.0444776170320364
Lake Hume,PLSR,3,0.6673746664924071,0.6673746664924071,0.0,0.3686295804893706,0.36555749924445746,0.001978394630647917,-0.08037147517050108
Lake Hume,PLSR,5,0.5467812443052549,0.6728807761709654,-0.11171391750692525,0.4771116928407237,0.373646030344207,0.12128399273506535,-0.010614214404762456
Lake Hume,PLSR,10,0.7939636933464048,0.6805025301032179,0.10187238545182342,0.44742057749469566,0.3629058251420704,0.18019009098984085,-0.04196827566918748
Lake Hume,XGBoost,1,0.6245896294785949,0.6245896294785949,0.0,0.4771756824395207,0.4771756933779704,0.0,-0.031993491718068034
Lake Hume,XGBoost,3,0.6107607493751712,0.6107607493751712,0.0,0.4725451328947441,0.46992598189538237,1.1456653460417687e-05,-0.01020070316648286
Lake Hume,XGBoost,5,0.5316881307363837,0.6246179779530072,-0.055625539686168735,0.21174700394178608,0.4799275616187528,-0.23242309996068278,-0.4974170534073436
Lake Hume,XGBoost,10,0.6457691882952346,0.6338608279287015,0.050994734077992154,0.4873664875398927,0.4904888986473078,0.0884226811614241,-0.003795706197364246
Lake Jasień Południowy,MLP,1,0.7701298701298702,0.7701298701298702,0.0,0.6058936068809793,0.6058936068809794,0.0,-0.04116520439904536
Lake Jasień Południowy,MLP,3,0.7649122807017543,0.7649122807017543,0.0,0.599643448323827,0.5945229247354964,0.0029440696360629737,-0.04380998882730058
Lake Jasień Południowy,MLP,5,0.6973039215686275,0.761029411764706,-0.045343137254901966,0.5462694112470121,0.6032928405572685,-0.03960599816345112,-0.09837705502999128
Lake Jasień Południowy,MLP,10,0.7272727272727274,0.7727272727272728,-0.0174825174825175,0.5781746041690352,0.608552453242743,-0.005846853761052262,-0.032869002528373714
Lake Jasień Południowy,PLSR,1,0.5623376623376624,0.5623376623376624,0.0,0.17723766888207126,0.17723766888207126,0.0,-0.1145386213384329
Lake Jasień Południowy,PLSR,3,0.5473684210526315,0.5473684210526315,0.0,0.17728722673889347,0.17610485803078163,0.000938779869272377,-0.1144125065977537
Lake Jasień Południowy,PLSR,5,0.3026960784313726,0.553921568627451,-0.19607843137254907,0.038218300286425866,0.17846978120746138,-0.14440082784762853,-0.2843988222220169
Lake Jasień Południowy,PLSR,10,0.7272727272727274,0.5909090909090909,0.12237762237762237,0.4911681805855011,0.17404353649798365,0.2923028547922217,0.16119632793293065
Lake Jasień Południowy,XGBoost,1,0.7402597402597402,0.7402597402597402,0.0,0.5837794657320536,0.583779445250074,0.0,-0.04478763246680145
Lake Jasień Południowy,XGBoost,3,0.719298245614035,0.719298245614035,0.0,0.5690119556928516,0.5653850058749991,0.0020917869561891678,-0.02516418570888551
Lake Jasień Południowy,XGBoost,5,0.7561274509803922,0.7389705882352943,-0.003676470588235281,0.540860672280782,0.5842306531290079,-0.06683936234185761,-0.12224828693628736
Lake Jasień Południowy,XGBoost,10,0.7727272727272728,0.7342657342657343,0.02097902097902099,0.6552001944887524,0.6054637001532274,0.04650345631102526,0.01293940242528746
Lake Jeleń,MLP,1,0.666666807401513,0.666666807401513,0.0,0.2907485752725846,0.2907485752725846,0.0,-0.12472729140351013
Lake Jeleń,MLP,3,0.6710556165604531,0.6710556165604531,0.0,0.2945687750137853,0.29367350890376953,0.0008574448923729938,-0.11669733229206292
Lake Jeleń,MLP,5,0.582643689823794,0.6691197148351478,-0.07543796633923683,0.3746084873151726,0.28820691968764056,0.11611762417796734,0.04474229473503
Lake Jeleń,MLP,10,0.5849396010625192,0.663172717302889,-0.07692307692307698,0.3830928879058018,0.28090036060362006,0.12568797225043332,0.06196247850081671
Lake Jeleń,PLSR,1,0.3689509775622259,0.3689509775622259,0.0,0.13646364628833774,0.13646364628833796,0.0,-0.12588847056872038
Lake Jeleń,PLSR,3,0.3621599288687991,0.3621599288687991,0.0,0.13531850670186962,0.13557937713362828,0.00017539693429430292,-0.12597014578718163
Lake Jeleń,PLSR,5,0.4201162010788736,0.36959841051865805,0.10239119030600027,0.2189605813060339,0.13583841215414133,0.1278279736385543,0.044752996332317885
Lake Jeleń,PLSR,10,0.5061303733744553,0.3636363636363637,0.11208423493413547,0.26624588664503634,0.12355118673231547,0.14634472382104707,0.10101107589655084
